stage,axial,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,1,8,6,3,0,0,3,0,0,0,24,0,0,0,0,7,0,0,4,77,2,0,0,2,4,6,0,7,32,0,0,0,0
 24-34,0,0.82,6.57,2.46,25.45,2.46,0,2.46,0,0.82,0.82,30.37,0,0,0,0.82,7.39,0,0,2.46,135.44,0,0.82,0,0,13.95,0,0,0,21.34,0,2.46,0,0
 36-46,0,0,18.53,0.81,55.59,4.83,0.81,3.22,0,0,0,33.84,0,0,0,0,5.64,0,0,0,67.68,0,0.81,0.81,0,12.89,0,0,0,20.14,0,1.61,0,0
 48-58,0,0,13.77,0,56.81,4.02,0.57,4.02,0.57,0,0,22.95,0,0.57,0,0,9.18,0,0.57,0.57,39.59,0,0,1.15,0,9.18,0,0,0,8.61,0,2.3,0,0
 60-70,0.98,0,26.5,0,41.22,6.87,0,3.93,1.96,0,0,30.43,1.96,0,0,0,8.83,0,0,1.96,29.45,0.98,0.98,0,0,9.82,0,0,0,2.94,0,2.94,0,0
 72-82,0,0,31.41,0.98,10.8,12.76,0.98,7.85,0.98,0,0,44.17,3.93,0,0,0,13.74,0,0,1.96,26.5,0,0.98,0,0,9.82,0,0.98,0,0,0,3.93,0.98,0.98
 84-94,0,0,86.03,0,18.05,14.87,0,7.43,9.56,1.06,0,61.6,7.43,0,1.06,0,6.37,2.12,1.06,2.12,11.68,1.06,1.06,1.06,0,21.24,0,0,0,1.06,0,1.06,0,0
 96-106,0,0,76.5,1.09,8.74,10.93,0,4.37,3.28,1.09,0,66.66,14.21,0,1.09,0,0,1.09,0,1.09,13.11,0,2.19,0,0,9.84,0,0,0,0,1.09,8.74,0,0
108-118,0,0,99.58,0.77,5.36,28.34,0,3.06,4.6,0,0,49.79,6.13,0,1.53,0,2.3,1.53,0,0,17.62,0,0,0,0,9.19,0,0.77,0,1.53,0,0.77,0,0
120,0,0,64.67,0,5.88,17.64,0,5.88,3.92,0,0,52.91,3.92,3.92,0,0,3.92,0,0,3.92,29.4,0,0,0,0,11.76,0,0,0,0,0,5.88,1.96,0
