stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,23.66,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.32,0,0,0,9.44,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,13,0,0,0,0,0,1,0,0,1,1,0,0,0,0
 24-34,0,0,0,1.64,0,0,4.93,0,0,0.82,0,0,0,0,0,0,0,0,0.82,4.1,0,0,0,43.51,0,0.82,0,0,0.82,0,0,0,0.82,4.1,0,0.82,0,0
 36-46,0,0,0,0,0.81,0,5.64,0,0,0,0.81,0,0,0,0,0,0,0,0,4.03,0,0,0,24.98,0,0,0.81,0,0.81,0,0,0.81,0,8.86,0,0.81,0,0
 48-58,0,0,0,1.15,0,0,12.05,0.57,0.57,0,1.72,0.57,0,0,0,0,0,0,0,3.44,0,0,0.57,33.28,0,0,0.57,0,0,0,0.57,0,0,6.31,0,0.57,0,0
 60-70,0,0,0,0,0,0,14.72,0,0,0,4.91,0,0,0,0,0.98,0,0,0,8.83,0,0,0.98,32.39,0,0.98,0,0,0.98,0,0,0,0,8.83,0,0,0,0
 72-82,0,0,0,1.96,0,0,11.78,0,0,0.98,4.91,0,0,0,0.98,0,0,0.98,0,6.87,0,0,0,29.45,0,0,0,0,1.96,0,0,0,0,1.96,0.98,0,0.98,0
 84-94,0,0,0,3.19,0,0,15.93,0,0,0,3.19,1.06,0,0,1.06,0,0,0,0,13.81,1.06,1.06,0,15.93,1.06,0,0,0,2.12,0,1.06,0,0,3.19,0,0,0,1.06
 96-106,0,0,0,3.28,0,0,3.28,0,0,0,2.19,0,0,0,0,0,1.09,0,0,10.93,0,0,1.09,15.3,0,0,0,0,2.19,0,0,0,0,1.09,1.09,2.19,0,1.09
108-118,0,0,0,0.77,0.77,0.77,6.89,0,0,0,1.53,0,0,0.77,0,0,0,0,0.77,9.96,0,0,0.77,18.38,0,0.77,0.77,0,3.83,0,0,0,0,0.77,0,1.53,0,0
120,0,0,0,1.96,0,0,5.88,1.96,0,1.96,3.92,0,0,0,0,0,0,0,0,13.72,0,0,1.96,29.4,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0
