stage,blastomeres,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,ionocyte,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,2.63,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,25.18,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,13,0,0,0,1,0,1,0,1,0,1,0,0,1,4,1,0,0,0,0,0,4,0,0,0,0
 24-34,0,9.85,0.82,0.82,0,0,0,0,0,0.82,0,4.93,0,0,1.64,2.46,1.64,0,0,0,0.82,0.82,0.82,0,0,0.82,0
 36-46,0,8.86,0,0.81,0.81,0,0,0,0,0,0,1.61,0,0,1.61,4.83,0,0,0.81,0,0,0,1.61,0,0,0,0
 48-58,0,1.15,1.72,0.57,0,0.57,0,0,0,0,0,3.44,0,0,1.72,5.16,0,0,0.57,0,1.15,0,1.15,0,0,0,0
 60-70,0,7.85,0,0.98,0,0.98,0.98,0,0,0.98,0.98,11.78,1.96,0,1.96,10.8,0.98,0,0,0,0,0,0.98,0,0,0,0
 72-82,0,6.87,0.98,1.96,0,3.93,0,0,0,0,0.98,5.89,0,1.96,0.98,5.89,0.98,0,0,0.98,0,0,1.96,0,0.98,0,0.98
 84-94,0,16.99,2.12,3.19,0,2.12,2.12,0,1.06,0,0,10.62,2.12,1.06,0,6.37,0,1.06,1.06,0,2.12,0,0,0,1.06,0,1.06
 96-106,0,13.11,1.09,2.19,0,2.19,0,0,0,1.09,0,10.93,0,1.09,1.09,2.19,0,0,0,0,1.09,0,0,1.09,0,0,1.09
108-118,0,16.85,1.53,4.6,0,1.53,0.77,0,0,0,0,10.72,0,0.77,1.53,3.06,1.53,0,3.06,0.77,3.83,0,0,0,3.06,0.77,1.53
120,0,17.64,0,7.84,0,3.92,0,0,0,0,0,7.84,0,0,1.96,3.92,3.92,0,1.96,0,5.88,0,0,1.96,0,0,1.96
