stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,9,3,0,0,0,0,0,0,1,0,0,1,0,0,3,0,1,12,15,1,0,1,0,0,2,2,9,0,0,5,0,0
 24-34,0,0.82,0.82,0.82,4.1,0,0,0,0.82,0,1.64,0,0,3.28,0,0.82,8.21,0,2.46,73.06,4.93,0,1.64,0,0,0,0,0.82,22.16,0,0,11.49,0,5.75
 36-46,0,0,2.42,0,4.03,0,0,0.81,5.64,0,0.81,0,0,0.81,0,2.42,12.09,0,4.03,61.23,1.61,0.81,0.81,0,0,0.81,0,0,18.53,0,0,10.47,0,24.17
 48-58,0,0,0,0,7.46,0,0,1.72,21.8,0,1.72,0.57,2.87,0.57,1.15,1.72,14.35,1.72,1.15,35,0,0.57,1.15,0,0,0,0,0,8.03,0,0,3.44,0,18.36
 60-70,0,0,0.98,0,6.87,0,0.98,2.94,16.69,0,0.98,0,0.98,1.96,0.98,0,36.32,2.94,1.96,34.35,0.98,0.98,3.93,0,0,0,0,0,5.89,0,0.98,1.96,1.96,8.83
 72-82,0,0,1.96,0.98,13.74,0,0.98,1.96,11.78,0,0.98,3.93,2.94,0,0.98,0,24.54,0.98,2.94,41.23,0,0,1.96,0,2.94,0,0,0,4.91,0,0,10.8,0,2.94
 84-94,0,0,4.25,0,9.56,0,0,2.12,16.99,0,1.06,3.19,7.43,2.12,0,2.12,21.24,3.19,2.12,18.05,0,0,1.06,0,0,1.06,0,0,3.19,0,2.12,6.37,1.06,7.43
 96-106,0,0,3.28,0,4.37,0,0,0,14.21,0,3.28,7.65,10.93,4.37,1.09,3.28,28.41,1.09,0,17.49,0,1.09,2.19,0,2.19,1.09,0,0,1.09,1.09,2.19,6.56,1.09,4.37
108-118,0,0,5.36,0.77,5.36,0.77,0.77,0.77,13.02,0,0,6.13,9.96,7.66,0,0,19.92,1.53,2.3,15.32,0.77,0,0,0,0.77,0.77,0,0,0,0.77,0,12.26,0.77,2.3
120,0,0,1.96,0,1.96,1.96,1.96,0,7.84,1.96,5.88,0,19.6,0,0,0,17.64,1.96,0,29.4,1.96,0,0,0,1.96,3.92,0,0,0,1.96,1.96,9.8,0,3.92
