stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,1,4,2,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,5,82,3,0,1,2,0,3,4,2,0,11,24,0,0,0,0,0
 24-34,0,0,4.1,0,0,10.67,0,0.82,0,7.39,0.82,0,0,0.82,4.93,0,0,0,0.82,12.31,0.82,0,8.21,204.39,2.46,4.1,0.82,0,0,12.31,0,0.82,0.82,2.46,60.74,0,0,6.57,0,2.46
 36-46,0.81,0,1.61,0,0,15.31,0.81,0,2.42,16.92,0,0,0.81,0,3.22,0,0.81,0,0,19.34,0,0,8.86,132.13,0,0.81,1.61,0,0,9.67,0.81,1.61,0,0,53.98,0,0,6.45,0,0.81
 48-58,0,0,4.02,0,0,37.3,0.57,1.72,2.87,23.53,0,0,0,0.57,0.57,0,0.57,0,1.15,31.56,0,1.15,7.46,82.05,0,1.72,3.44,0,0,10.9,0,0,1.72,0,46.48,0,0,0.57,0,1.72
 60-70,0,0,8.83,0,0,34.35,0.98,1.96,1.96,40.24,1.96,0,0,0,4.91,0.98,0,0,0.98,66.74,1.96,0.98,4.91,42.21,0.98,0.98,1.96,0,0,18.65,0,0,1.96,0,14.72,0,0.98,6.87,0,0.98
 72-82,3.93,0,13.74,0.98,0,46.14,0,1.96,2.94,52.03,1.96,0,0.98,1.96,14.72,0,0,1.96,0,85.4,0.98,0.98,6.87,58.9,0.98,2.94,5.89,0,0.98,41.23,0,1.96,0.98,0,9.82,0.98,1.96,4.91,1.96,1.96
 84-94,0,0,19.12,0,1.06,28.68,0,0,3.19,24.43,2.12,0,1.06,4.25,26.55,3.19,3.19,5.31,1.06,57.35,1.06,6.37,5.31,35.05,2.12,3.19,4.25,0,0,110.45,0,1.06,0,0,11.68,1.06,4.25,9.56,4.25,1.06
 96-106,1.09,0,26.23,2.19,0,28.41,5.46,1.09,4.37,48.09,8.74,0,3.28,9.84,26.23,3.28,2.19,5.46,1.09,74.31,1.09,6.56,7.65,41.53,0,7.65,18.58,0,2.19,71.04,0,2.19,1.09,0,3.28,0,4.37,12.02,1.09,1.09
108-118,0.77,0,30.64,2.3,2.3,32.17,0.77,3.06,0.77,36.77,5.36,0,0,13.02,18.38,5.36,1.53,9.19,2.3,62.04,1.53,3.83,2.3,53.62,2.3,4.6,12.26,0,3.06,68.94,0,3.06,2.3,0,1.53,0.77,1.53,6.13,0,5.36
120,0,0,17.64,3.92,1.96,21.56,0,7.84,1.96,15.68,7.84,0,1.96,19.6,11.76,0,1.96,5.88,1.96,50.95,0,3.92,3.92,31.36,1.96,1.96,9.8,0,0,58.79,0,1.96,3.92,0,1.96,0,0,5.88,1.96,1.96
