stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.5,3.15,0,0,9.44,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,32,24,2,0,0,0,2,1,0,2,0,0,0,0,0,0,5,0,0,1,9,1,0,0,0,1,1,0,2,3,0,16,0,0
 24-34,0,0.82,13.95,3.28,1.64,0,0,0,0,0,0.82,3.28,1.64,0.82,0,0,0,0,8.21,0,0,1.64,7.39,0,1.64,0.82,0,13.95,0,0,0,1.64,0,57.46,0,0.82
 36-46,0,0,4.83,0,0.81,0,0.81,0,0.81,0,0,3.22,2.42,0,0,0.81,0,0.81,4.83,0,0,0.81,11.28,0,0,0,0,15.31,0,1.61,0,1.61,0,20.95,0,0
 48-58,0,0,2.87,0.57,5.16,1.15,0.57,0.57,2.87,0,0,4.02,1.72,0,0,0,0,1.15,7.46,0,0.57,1.72,4.59,0,0.57,0,0,5.16,0,0.57,0,1.15,0,16.64,0,0.57
 60-70,0,0,11.78,0,1.96,0,1.96,0,4.91,0,0,4.91,3.93,0.98,0,0,0,0.98,10.8,0,0,0.98,6.87,0,0.98,0.98,0,10.8,0,0,0,0.98,3.93,17.67,0,1.96
 72-82,0,0,4.91,2.94,5.89,0.98,1.96,1.96,6.87,0,0,5.89,7.85,0.98,1.96,0.98,0,0,19.63,1.96,1.96,0,7.85,0,0,0,0,9.82,0,0,0,0,0.98,36.32,0,2.94
 84-94,0,0,12.74,4.25,8.5,0,6.37,0,2.12,0,0,2.12,16.99,0,0,0,0,3.19,14.87,0,2.12,0,7.43,1.06,0,0,0,13.81,0,0,0,0,1.06,20.18,1.06,2.12
 96-106,0,0,13.11,3.28,12.02,0,2.19,0,5.46,0,0,3.28,14.21,0,0,0,0,3.28,13.11,0,1.09,1.09,8.74,0,1.09,1.09,0,29.51,0,0,0,2.19,0,28.41,0,0
108-118,0.77,0,9.19,5.36,10.72,0,3.06,0,2.3,0,0,4.6,19.15,1.53,0,0,0.77,2.3,16.85,0.77,2.3,0,4.6,0,0.77,0,0,13.02,0.77,0,0,0,0,22.98,0,0.77
120,0,0,15.68,3.92,3.92,1.96,9.8,0,0,0,0,3.92,15.68,0,0,0,0,1.96,9.8,1.96,0,0,9.8,0,0,0,0,5.88,0,0,0,0,0,25.48,1.96,1.96
