stage,axial,blastomeres,epidermis,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,liver,mesenchyme,neural,olfactory,otic,paraxial_mesoderm,periderm,somites,spinal_cord,vasculature
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,13.14,0,0,2.63,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,6.29,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
 24-34,0,0,0.82,0.82,0,0,0,0,0,0.82,0,0,0.82,0.82,0,0,0,4.1,0,0.82,0
 36-46,0,0,0,0.81,0,0.81,0,0,0,0,0,0,0,1.61,0,0,0,7.25,0.81,0,0
 48-58,0,0,0,1.72,0,0,0,0,0,0,0,0,0.57,1.15,0,0,0,4.02,0,0,0
 60-70,0,0,0,1.96,0,0,0,0.98,0,0,0,0,0.98,2.94,0,0,0,3.93,0,0,0
 72-82,0,0,0,1.96,0,0,0.98,0,0,0,0,0,2.94,3.93,0,0,0,4.91,0,0,0
 84-94,0,0,0,1.06,0,0,0,0,1.06,0,0,0,0,0,0,1.06,0,22.3,0,0,0
 96-106,0,0,1.09,2.19,1.09,0,0,0,1.09,0,1.09,0,0,3.28,1.09,1.09,0,24.04,0,0,1.09
108-118,0,0,0.77,0,0,0,0,0,0.77,0,0.77,0,0,1.53,0,0.77,0,22.21,0,0,0
120,0,0,0,0,0,1.96,1.96,0,0,0,0,1.96,0,11.76,0,0,0,21.56,0,0,0
