stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,1,22,70,19,0,5,0,0,9,8,15,0,0,5,0,0,0,0,2,0,0,3,245,0,0,6,1,0,61,1,2,52,0,81,0,0,30,0,0
 24-34,0,0,17.24,56.64,2.46,0,20.52,14.78,0,18.06,1.64,2.46,8.21,0.82,4.93,0,4.1,0.82,0,4.1,4.93,0,0.82,870.11,0,9.03,11.49,0,0,99.32,0,0,27.91,0,208.5,0,0,123.13,0,0
 36-46,0,0,3.22,44.31,0.81,0,74.12,17.72,0.81,41.09,0.81,0,5.64,0,1.61,0,4.03,1.61,1.61,8.06,0,0,0.81,1920.72,0,6.45,3.22,0,0,78.15,0,0,8.86,0,391.56,0,0,95.07,0,0.81
 48-58,0,0,0.57,29.26,1.15,0,284.61,26.97,0.57,78.04,4.59,1.15,6.89,0,0.57,0,4.59,2.3,0,21.8,2.87,0.57,4.59,2134.55,0,4.02,6.31,0,0,44.76,0,0,9.18,1.15,343.71,0,0,73.45,0,4.02
 60-70,0,0,0,36.32,1.96,0,579.1,23.56,1.96,118.76,15.7,0,3.93,0.98,2.94,2.94,1.96,2.94,0,27.48,4.91,1.96,4.91,2861.14,0.98,12.76,3.93,0,0,62.82,0,0,8.83,0,344.51,0,0,77.54,0,1.96
 72-82,0,0.98,0,45.16,3.93,0.98,626.3,25.52,2.94,160.99,24.54,0,10.8,2.94,2.94,0.98,2.94,5.89,0,71.66,1.96,3.93,6.87,2175.36,0,12.76,13.74,0,0.98,74.61,0.98,0,2.94,0.98,217.93,2.94,0.98,155.1,0.98,3.93
 84-94,0,0,0,86.03,4.25,7.43,430.13,39.3,3.19,106.2,26.55,2.12,9.56,3.19,5.31,1.06,2.12,9.56,0,46.73,3.19,4.25,5.31,1037.61,0,7.43,3.19,0,0,163.55,0,0,8.5,0,104.08,4.25,0,158.24,0,2.12
 96-106,0,2.19,4.37,102.73,4.37,5.46,348.62,31.69,0,112.56,25.14,0,7.65,3.28,7.65,2.19,2.19,6.56,2.19,46.99,8.74,1.09,3.28,935.48,1.09,15.3,13.11,0,3.28,144.26,0,0,5.46,0,53.55,1.09,3.28,173.76,0,1.09
108-118,0.77,0,1.53,85.02,3.83,29.11,217.53,38.3,1.53,96.51,26.04,0,1.53,1.53,11.49,0.77,0.77,14.55,0.77,37.53,2.3,0,3.06,1103.75,0,9.96,9.96,0,0,85.79,0,0,6.13,0,47.49,2.3,0,117.96,0.77,0.77
120,0,0,1.96,127.39,3.92,11.76,233.21,35.28,3.92,109.75,11.76,0,0,3.92,11.76,0,1.96,3.92,0,50.95,5.88,3.92,13.72,1365.97,1.96,9.8,29.4,0,0,109.75,0,0,7.84,1.96,56.83,3.92,1.96,143.06,0,1.96
