stage,epidermis,eye,glial,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,spinal_cord,taste
  7-9,0,0,0,0,0,0,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,1,0,2,0,0,0,10,0,0,0,1,3,0
 24-34,0,1.64,0,0,0,0,33.66,0,1.64,0.82,0,0,0
 36-46,0.81,19.34,0.81,0.81,0,0,130.52,0,4.03,0,0,9.67,0
 48-58,0,26.97,0.57,2.87,0,1.15,106.73,0,1.72,0,0.57,2.87,0
 60-70,0,64.78,0,0.98,0,0,156.06,0,0.98,0,0,2.94,0
 72-82,0.98,71.66,3.93,7.85,0,0,146.27,0,0,0,0.98,0.98,0
 84-94,0,22.3,3.19,3.19,0,0,33.99,0,1.06,0,1.06,1.06,0
 96-106,0,25.14,0,3.28,0,0,25.14,0,1.09,0,1.09,1.09,1.09
108-118,0,34.47,6.13,3.83,0.77,0,58.98,0,2.3,0,0.77,0,1.53
120,0,15.68,1.96,1.96,0,0,23.52,0,1.96,0,0,0,0
