stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,iridophores,lateral_line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,pronephros,spinal_cord,taste,vasculature,xanthophores
  3-4,0,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0
  5-6,6.13,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,3,3,0,0,0,0,0,0,2,0,0,0,0,1,9,0,0,0,0,0,0,41,0,0,0,0
 24-34,0,0,0,3.28,0,0,0,0.82,0,0,0.82,8.21,0,0,0,0,2.46,7.39,0.82,0,3.28,0,0,0,55,1.64,0,0,0
 36-46,0,0,0,1.61,0,0,0,1.61,0,0,0,2.42,0,0.81,0.81,0.81,0,6.45,0,0,3.22,0,0,0,30.62,1.61,0,0,0
 48-58,0,0,0,0.57,0,0,0,1.72,0,0,0.57,2.87,0,1.15,0.57,0.57,0.57,4.59,0,0.57,2.87,0,0,0,17.79,2.3,0,0,0
 60-70,0,0,0,0.98,0,0,0,1.96,0,0,0,18.65,0.98,5.89,0.98,0.98,0.98,3.93,0,0,2.94,0,0,0,19.63,0,0,0,0
 72-82,0,0,0.98,0.98,0,0,0,8.83,0,0.98,1.96,31.41,0,10.8,0,3.93,0,14.72,0,0.98,6.87,0,0,0,33.38,0,0.98,0.98,0
 84-94,0,0,1.06,1.06,3.19,0,0,6.37,1.06,0,0,59.47,0,9.56,3.19,2.12,0,7.43,0,0,9.56,0,0,0,54.16,1.06,0,0,0
 96-106,0,0,0,4.37,1.09,1.09,1.09,9.84,0,0,0,57.92,0,34.97,4.37,0,1.09,2.19,0,2.19,12.02,1.09,2.19,0,65.57,0,1.09,0,0
108-118,0,0,1.53,3.06,2.3,0,0.77,3.06,0,0.77,3.06,47.49,0,26.81,6.89,2.3,0,3.83,0,1.53,10.72,0,1.53,0,52.85,0.77,0.77,0.77,0.77
120,0,0,1.96,1.96,0,0,0,1.96,0,0,1.96,35.28,0,35.28,0,0,0,5.88,1.96,0,3.92,0,1.96,0,35.28,0,1.96,0,0
