stage,axial,blastomeres,endoderm,eye,hatching_gland,neural,notochord,paraxial_mesoderm
  5-6,0,42.91,0,0,0,0,0,0
  7-9,5.26,5.26,2.63,7.89,2.63,81.49,55.2,73.6
 10-12,0,0,9.44,9.44,0,66.09,9.44,72.38
