stage,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,immune,liver,mesenchyme,mucous,muscle,neural,notochord,periderm,spinal_cord,vasculature,visceral_smooth_muscle
 14-21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
 24-34,0.82,0,0.82,0.82,0,0,0,0,2.46,0,0,14.78,0,0,1.64,0.82,0
 36-46,0,0,2.42,1.61,0,0,0,0,0.81,0,0,17.72,0,0,0.81,0.81,0
 48-58,0,0,21.23,0.57,1.15,0,0,0,1.72,0,0.57,29.84,0,0.57,1.72,1.15,0
 60-70,0,0,132.51,0.98,1.96,0,0,0,0,0.98,0.98,47.11,0,0,0,0,0
 72-82,1.96,0,168.85,0,2.94,0,0,0,2.94,0,0.98,49.08,0,0,2.94,0,0
 84-94,1.06,0,100.89,0,6.37,1.06,1.06,0,2.12,0,1.06,26.55,1.06,0,0,0,0
 96-106,0,1.09,53.55,0,0,0,0,0,2.19,0,0,16.39,0,0,0,1.09,1.09
108-118,0.77,0,74.3,0,2.3,0,0,0.77,1.53,0,0,26.04,0,0,0.77,0.77,0.77
120,1.96,0,76.43,0,5.88,0,0,0,1.96,0,0,43.12,0,0,1.96,0,0
