stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,26.36,355.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,0,226.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,2.63,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,70.98,0,0,0,23.66,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,6.29,0,0,0,0,0,0,0,0,0,0,44.06,0,0,0,15.73,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,1,0,0,0,0,1,0,0,0,1,0,2,20,0,1,0,0,0,2,0,1,12,0,0,0
 24-34,0,0,0,1.64,0,4.93,0,0,0.82,0,0,0.82,0,4.1,0,2.46,71.41,0.82,0.82,2.46,0,0.82,0,0,0.82,15.6,0,1.64,0
 36-46,0,0,0,0,0.81,8.06,0,0,1.61,0,0,0,0,2.42,0,1.61,55.59,0,0,0,0,0.81,0,0.81,0,8.06,0,0.81,0
 48-58,0,0,0,0,0,8.61,0.57,0,1.72,0,0,0,1.15,4.02,0,1.72,28.69,0,0,0,0,0,0,0,0,4.59,0,0,0.57
 60-70,0,0,0,0.98,0,18.65,0,0,1.96,0,0,0,0.98,10.8,0.98,0.98,42.21,0,0.98,0,0,0,0,0,0,4.91,0,0,0
 72-82,0,0,0,0,0,18.65,0,0.98,2.94,0,0.98,0,0,7.85,0.98,1.96,32.39,0,0,0,0,0.98,0,0,0,0.98,0,0.98,0
 84-94,0,0,0,0,0,9.56,0,0,3.19,0,0,0,0,3.19,0,1.06,8.5,0,0,0,0,1.06,0,0,0,0,1.06,0,0
 96-106,0,0,0,1.09,0,6.56,0,0,2.19,0,0,0,1.09,4.37,0,2.19,14.21,0,1.09,0,0,0,0,0,0,1.09,0,1.09,0
108-118,0,0,0,0.77,0,2.3,0.77,0,0.77,0,0,0,0,4.6,0,0.77,10.72,0,0,0,0,1.53,0,0,0,1.53,0,0,0
120,0,0,0,3.92,0,0,0,0,0,0,0,0,0,3.92,0,0,9.8,0,0,0,0,0,0,0,0,0,0,0,0
