stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,527.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,294.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.54,0,0,0,5.26,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,15,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,4,13,3,0,0,0,0,0,0,1,0,5,4,0,0,1,0,0
 24-34,0,0,0,13.95,0,5.75,0.82,0,0,0,0.82,0.82,0,0,0.82,0,3.28,0,0,4.1,34.48,0,0,0,0,0,0,0,0,0,2.46,3.28,0,0,0,0,0.82
 36-46,0,0,0,12.89,0,1.61,0.81,0,0.81,0,0,0.81,0,0,0.81,0,3.22,0,0,0.81,26.59,0,0,0,0,0,0,0,0,0,0,9.67,0,0,0,0,4.03
 48-58,0,0,0,4.59,0,3.44,0.57,0.57,2.3,0,0,0.57,0,0,2.3,0,13.2,0,0.57,2.87,49.35,0,0,0,0,0,0.57,0,0,0,0,6.89,0,0,0.57,0,2.87
 60-70,0,0,0,6.87,0,7.85,5.89,0,2.94,0,0.98,6.87,0,0,0.98,0,20.61,0.98,1.96,4.91,81.47,0,0,0,0,0,0,0,0,0,0,5.89,0,0.98,1.96,0,2.94
 72-82,0,0,0,3.93,0,27.49,2.94,0.98,11.78,0,0.98,3.93,0,0,6.87,0,30.43,0,0.98,3.93,71.66,0,0.98,0.98,0,0,0,0,0,0,0,3.93,0.98,0,1.96,0,0.98
 84-94,0,0,0,11.68,0,27.61,3.19,2.12,6.37,2.12,0,7.43,1.06,0,0,1.06,22.3,1.06,0,2.12,39.3,0,0,0,0,0,0,0,0,0,0,3.19,0,0,1.06,1.06,3.19
 96-106,0,0,0,12.02,0,31.69,5.46,0,12.02,0,2.19,10.93,2.19,1.09,2.19,0,20.76,1.09,2.19,1.09,52.46,1.09,1.09,4.37,0,0,2.19,0,0,0,0,2.19,1.09,0,1.09,2.19,1.09
108-118,0,0,0.77,26.81,0,23.74,8.43,0,9.19,0.77,0,9.96,2.3,0.77,3.06,0,29.11,0.77,0.77,1.53,46.72,0,1.53,2.3,0,0.77,3.06,0,0,0,0,0.77,1.53,0,0.77,1.53,2.3
120,0,0,0,27.44,0,9.8,13.72,1.96,3.92,1.96,0,13.72,0,0,1.96,0,15.68,0,0,7.84,54.87,0,1.96,1.96,0,0,1.96,0,0,1.96,0,0,0,0,3.92,1.96,0
