stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,487.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,410.69,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,6.13,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,21.03,28.92,0,36.8,0,0,94.63,0,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,607.23,26.29,0,0,210.3,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,18.88,0,47.2,0,0,78.67,0,0,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,531.84,22.03,0,0,286.37,0,0,3.15,40.91,0,12.59,0,0,0,0,0,0
 14-21,0,0,0,0,50,12,23,0,0,0,9,0,0,4,0,2,1,0,0,1,26,0,0,9,244,7,1,3,7,0,1,37,4,3,40,103,0,0,2,0,0
 24-34,0,0,0.82,0.82,19.7,3.28,64.03,0,0,1.64,14.78,0,0,0,1.64,1.64,0,0.82,1.64,0,45.97,0.82,0,24.63,525.35,1.64,5.75,3.28,0.82,0,14.78,0,0,0.82,10.67,143.65,0,0,5.75,0,0
 36-46,0,0,0.81,0,8.06,0.81,170,1.61,0,3.22,20.95,0,0,2.42,0,0.81,0.81,0.81,1.61,0.81,53.17,0.81,0,14.5,480.98,0,4.83,1.61,0,0,12.89,0,0.81,0.81,0,130.52,0,0,4.83,0,0.81
 48-58,0,0,0,0,6.31,1.15,180.75,0.57,1.15,1.72,34.43,0,1.15,1.15,0,0,0,1.15,0.57,0.57,70,0.57,2.87,6.31,337.4,0.57,2.3,1.15,0,0,6.31,0,0.57,0,0,66.56,0,0.57,1.72,0,2.3
 60-70,0,0,0,0,7.85,0,221.82,1.96,2.94,0.98,31.41,0,0,2.94,0,0,0.98,0.98,1.96,0,70.67,0,2.94,9.82,294.46,0.98,0.98,3.93,0,0,3.93,0,0,1.96,0,41.22,0,1.96,2.94,0,0.98
 72-82,0,0,0.98,0,12.76,5.89,143.32,0,0,4.91,33.38,1.96,0,1.96,1.96,1.96,0.98,3.93,0.98,0,104.06,1.96,2.94,11.78,284.68,1.96,3.93,3.93,0,0.98,3.93,0,0.98,0,0,20.61,0.98,1.96,8.83,3.93,0.98
 84-94,0,0,1.06,0,13.81,5.31,104.08,0,2.12,3.19,25.49,1.06,0,0,3.19,3.19,3.19,1.06,3.19,0,73.28,2.12,5.31,9.56,138.06,3.19,3.19,7.43,0,0,22.3,0,1.06,0,0,14.87,1.06,1.06,8.5,3.19,0
 96-106,0,0,2.19,0,17.49,4.37,79.78,1.09,0,3.28,31.69,2.19,0,1.09,8.74,2.19,2.19,0,0,1.09,80.87,2.19,2.19,8.74,132.23,1.09,6.56,2.19,0,0,16.39,0,1.09,0,0,6.56,1.09,2.19,7.65,8.74,0
108-118,0,0,0.77,0,16.85,2.3,63.57,0,1.53,4.6,32.17,0.77,0,3.06,2.3,3.06,1.53,0.77,1.53,0,55.15,0,1.53,5.36,150.13,2.3,3.06,1.53,0,0.77,12.26,0,0.77,0.77,0,3.83,0,0.77,9.19,2.3,1.53
120,0,0,0,0,5.88,5.88,74.47,1.96,3.92,5.88,19.6,5.88,0,0,3.92,0,1.96,0,3.92,0,43.12,0,0,9.8,109.75,0,5.88,0,0,0,23.52,0,0,0,0,0,0,1.96,0,1.96,1.96
