stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,hatching.gland,heart,immune,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.66,5.26,0,0,68.35,0,0,0,0,0,0,0,0,0,0
 10-12,0,12.59,0,3.15,3.15,0,0,0,0,0,0,0,0,0,0,0,53.5,6.29,0,0,40.91,0,0,0,15.73,0,0,0,0,0,0
 14-21,0,0,13,79,1,1,0,0,0,5,0,0,0,19,0,5,24,1,0,1,13,0,15,6,4,1,6,9,54,0,0
 24-34,0,1.64,5.75,4.1,0,2.46,1.64,4.1,0,12.31,0,0,0,24.63,0,12.31,44.33,1.64,0,0,0,0,23.8,0,15.6,2.46,3.28,13.13,135.44,0,1.64
 36-46,0,0,4.03,0.81,4.83,0,1.61,2.42,0,11.28,0,0,0,32.23,0,8.06,41.09,4.03,0.81,2.42,0,0,9.67,0,7.25,0,0,10.47,90.23,0,1.61
 48-58,0,0,0,0.57,4.02,0,1.15,1.72,0.57,5.16,0,0,1.72,28.12,0,1.72,16.64,1.15,0.57,0.57,0,0.57,8.03,0,1.72,0,0,4.59,78.61,0,4.59
 60-70,0,0,0,0.98,9.82,0,0.98,3.93,0,4.91,0,0,2.94,25.52,0,0,11.78,0,0,0,0,1.96,3.93,0,0.98,0,0,1.96,50.06,0,5.89
 72-82,0,0,0.98,0.98,0.98,0,2.94,2.94,0,2.94,0,0,0,29.45,0,1.96,18.65,0,0,0,0,0,2.94,0,0,0,0,0,72.64,0,3.93
 84-94,0,0,1.06,0,6.37,0,2.12,5.31,0,1.06,0,0,0,16.99,1.06,1.06,6.37,0,0,0,0,0,4.25,0,0,0,0,1.06,70.09,1.06,4.25
 96-106,0,0,1.09,0,4.37,0,0,4.37,0,5.46,1.09,1.09,0,16.39,0,1.09,7.65,0,1.09,0,0,0,1.09,0,0,0,0,1.09,76.5,2.19,6.56
108-118,0,0,0,0,1.53,0,0,2.3,0,1.53,0,0,0,5.36,0,0.77,3.83,0,0,0,0,0.77,2.3,0,0.77,0,0,0,59.75,0.77,8.43
120,0,0,7.84,0,5.88,0,0,3.92,0,0,1.96,0,0,11.76,0,0,1.96,0,0,0,0,0,3.92,0,0,0,0,0,60.75,1.96,5.88
