stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,ionocyte,liver,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,slow.muscle,somites,spinal.cord,vasculature,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,3.15,0,0,0,0,0,0
 14-21,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,2.46,2.46,0,0,0,0,0,0.82,4.1,5.75,0,0,0,0,1.64,4.93,0.82,0.82,0
 36-46,0,0,0,0.81,10.47,0,0,0,0,0,1.61,0.81,8.06,0,0,0,0,3.22,0.81,0.81,0,0
 48-58,0,0,0.57,1.15,5.74,0.57,1.72,0,0,0,1.15,0.57,6.89,0,0,0,0,3.44,0,1.72,0,0.57
 60-70,0,0,0,0,10.8,0,0,0,0.98,0,0.98,1.96,12.76,0,0,0,0,2.94,0,0,1.96,0
 72-82,0,0,0,3.93,5.89,0,0,0,0,0,0.98,0,3.93,0,0,0,0,2.94,0,0,0,0.98
 84-94,0,0,0,4.25,6.37,0,0,0,0,0,1.06,3.19,0,0,0,0,2.12,6.37,0,0,1.06,0
 96-106,0,1.09,0,3.28,7.65,0,0,1.09,0,1.09,3.28,3.28,6.56,1.09,0,0,0,2.19,0,1.09,0,1.09
108-118,0,0.77,0,0.77,4.6,0,0,0.77,0,0.77,0.77,4.6,4.6,0,0.77,0,0,1.53,0,0,0,0
120,0,0,0,0,9.8,0,1.96,0,0,0,1.96,3.92,1.96,0,0,0,0,3.92,0,0,0,0
