stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,34,57,0,7,0,0,0,0,0,2,42,1,0,0,0,0,9,1,0,8,22,29,0,2,0,0,3,1,0,0,3,8,0,0,0,0,0
 24-34,0,0.82,0.82,68.95,0,2.46,0,0.82,0,0,0,0,61.56,0.82,0,1.64,0,0,2.46,0,0,0.82,27.09,11.49,0.82,0,0,0,9.03,0,0,0,0,4.93,0,0,16.42,0,0.82
 36-46,0,0,0.81,69.29,0,1.61,0,0,0,0.81,0,0,75.73,0,0,1.61,0,1.61,3.22,0,0,2.42,26.59,6.45,1.61,0.81,0,0,6.45,0.81,0,0,0,6.45,0,0,12.89,0,6.45
 48-58,0,0,3.44,54.51,0,10.33,0,0,0.57,2.87,0,0,76.89,0.57,0,0,0,1.72,5.16,0,0.57,0,16.07,4.02,0.57,0,0,0.57,1.72,0,0,0,0,4.02,0,0,15.49,0,5.74
 60-70,0,0.98,5.89,18.65,0,11.78,0,1.96,0,4.91,0,0,100.12,0,0.98,0.98,0.98,2.94,12.76,0,0,0.98,22.58,7.85,0,0.98,0,0,5.89,0,0,0,0,3.93,0.98,0,17.67,0.98,5.89
 72-82,0,0,21.6,35.34,0,11.78,0,0.98,0,2.94,2.94,0,145.29,0.98,1.96,0.98,0,0.98,14.72,0.98,0,0.98,19.63,0.98,0,0,0,0.98,3.93,0,0,0,0,0,0.98,1.96,44.17,1.96,5.89
 84-94,0,0,36.11,40.36,1.06,6.37,0,0,0,4.25,3.19,0,215.59,6.37,4.25,1.06,0,1.06,13.81,1.06,1.06,0,13.81,2.12,0,1.06,0,0,1.06,0,1.06,1.06,0,0,2.12,0,37.17,1.06,5.31
 96-106,0,0,97.26,72.13,0,17.49,0,2.19,0,7.65,5.46,1.09,265.56,7.65,4.37,1.09,5.46,5.46,37.16,2.19,1.09,3.28,33.88,1.09,1.09,0,0,1.09,33.88,0,0,0,0,0,0,1.09,69.94,1.09,7.65
108-118,0,0,112.6,85.79,0.77,11.49,1.53,5.36,0,9.19,7.66,0,247.41,9.19,12.26,0.77,2.3,1.53,38.3,3.06,0.77,0,32.17,9.19,0,0.77,0,1.53,20.68,0,1.53,0.77,0,0,4.6,1.53,60.51,0.77,9.96
120,0,0,47.03,82.31,1.96,7.84,0,3.92,0,3.92,13.72,0,325.32,1.96,13.72,9.8,0,1.96,15.68,0,0,1.96,27.44,3.92,0,0,0,0,23.52,0,0,0,0,0,0,0,43.12,0,1.96
