stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,52.71,764.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0
  5-6,24.52,208.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.5,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,7,3,0,0,0,0,1,0,1,1,0,0,0,0,0
 24-34,0,0,0,0,0,0.82,17.24,0,0,0,0.82,0,0,0,0,0,0,0,0,2.46,0,0,0,21.34,0.82,0.82,0,0,0,0,0,0,0.82,0,0,1.64,0,0
 36-46,0,0,0,0,0.81,0,5.64,0,0,0,4.03,0,0,0,0,0,0,0,0,3.22,0,0.81,1.61,25.78,0.81,0.81,0,0,0,0,0,0,2.42,0,0,0.81,0,0
 48-58,0,0,0,0,0.57,0,15.49,0,0,0,14.35,0,0,0,0,0,0.57,0,0,9.18,0,0,1.72,95.83,0.57,0.57,0,0,0,0,0,0,13.2,0,0,1.15,0,0.57
 60-70,0,0,0,0,0,0,11.78,0.98,0.98,2.94,24.54,1.96,0,2.94,0,0,0.98,0,0,26.5,0,0,1.96,204.16,0,0.98,0,0,0,0,0.98,0,26.5,0,1.96,0.98,0,0
 72-82,0,0,0.98,0,2.94,0,21.6,0,0,2.94,59.88,0.98,0.98,0,0,1.96,4.91,0,2.94,66.75,0.98,0.98,4.91,159.03,0,2.94,0,0,0.98,0,0,0,20.61,0,0.98,4.91,0.98,0.98
 84-94,0,0,0,0,2.12,1.06,37.17,0,0,2.12,20.18,2.12,0,0,0,0,1.06,1.06,1.06,55.23,0,1.06,9.56,94.52,1.06,3.19,0,0,2.12,0,0,0,8.5,0,0,1.06,1.06,1.06
 96-106,0,0,0,0,2.19,1.09,21.86,2.19,2.19,3.28,42.62,0,1.09,1.09,0,0,3.28,1.09,0,53.55,0,3.28,3.28,55.74,1.09,6.56,0,1.09,2.19,0,0,0,2.19,1.09,1.09,4.37,1.09,3.28
108-118,0,0,1.53,0,6.13,0,16.85,0,0.77,1.53,36,0.77,0,0,0.77,2.3,1.53,0,0.77,56.68,0,0.77,4.6,68.94,1.53,5.36,0,0,0.77,0.77,0,0,3.83,0.77,0,4.6,0.77,3.06
120,0,0,0,0,7.84,0,15.68,0,1.96,1.96,33.32,1.96,0,1.96,1.96,0,1.96,0,0,52.91,0,5.88,11.76,105.83,1.96,7.84,0,0,1.96,0,1.96,0,0,0,0,1.96,1.96,1.96
