stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,1,0,2,0,0,2,0,0,0,0,0,0,14,0,3,0,0,4,15,0,1,0,0,0,0,0,0,1,8,0,1,0,0
 24-34,0,0.82,0,3.28,0,0,4.93,0,0,0,2.46,0,0.82,0,0,0,19.7,0,24.63,0,0.82,4.93,71.41,1.64,0,0.82,0,0,2.46,0,0.82,0,22.98,0,0,0,0
 36-46,0,0,0.81,1.61,0,0,20.95,0,0,1.61,12.09,0,0,0,0,0,7.25,0,44.31,0,0.81,4.03,57.2,1.61,0,0.81,0,0,0,0,0,0,15.31,0,0.81,0,0
 48-58,0,0,0,1.15,0,0,12.05,0.57,0.57,3.44,5.16,0,0,0.57,0,0.57,14.92,0,56.23,0,0,5.16,22.38,1.15,0,0,0,0,0,0,0.57,0,9.18,0,0,0,0
 60-70,0,0,0,0.98,0,0,10.8,0.98,0.98,0,0,0,0,0,0,0,39.26,0,48.09,0,0.98,0,16.69,0,0,0,0,0.98,0,0,0,0,5.89,0.98,0,0,0
 72-82,0,0.98,0,0.98,1.96,0,17.67,0,0,3.93,2.94,0,0,0,0,0.98,132.52,0,81.48,0,2.94,1.96,28.47,0,0.98,0,0,0,2.94,0,0,0,2.94,1.96,0.98,4.91,0
 84-94,0,0,0,3.19,0,0,9.56,0,2.12,2.12,1.06,0,1.06,0,1.06,1.06,455.61,0,75.4,1.06,3.19,0,23.36,0,0,0,0,0,0,0,0,0,0,4.25,2.12,7.43,0
 96-106,0,0,0,7.65,5.46,0,20.76,2.19,3.28,3.28,2.19,0,4.37,0,0,1.09,708.16,0,97.26,0,2.19,2.19,78.68,2.19,2.19,1.09,0,4.37,3.28,0,0,0,1.09,4.37,5.46,14.21,0
108-118,0,0,0,8.43,2.3,0.77,13.02,1.53,0.77,4.6,2.3,0.77,0,0.77,0,0.77,1391.75,1.53,85.79,0,0.77,3.06,85.79,0.77,0,0.77,0,3.06,3.06,0,2.3,0,0,0.77,1.53,12.26,0.77
120,0,0,0,3.92,0,0,17.64,1.96,0,5.88,1.96,0,1.96,0,0,0,682.01,0,74.47,0,1.96,0,52.91,0,0,1.96,0,0,3.92,0,0,0,1.96,0,0,23.52,0
