stage,axial,blastomeres,endoderm,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,hatching.gland,immune,iridophores,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,0,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,6.13,0,0,0,0,0,0,0
  7-9,5.26,0,2.63,0,13.14,0,0,0,0,10.51,0,0,0,0,0,78.86,2.63,0,0,18.4,2.63,0,0,0,0,0,0
 10-12,0,9.44,0,0,3.15,0,0,0,0,0,0,0,0,0,0,47.2,3.15,0,0,31.47,0,0,0,0,0,0,0
 14-21,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0.82,0,0,0,0.82,0,0,11.49,0,0,0.82,0,1.64,0,3.28,0,0,0,0
 36-46,0,0,0,0,4.83,0,0,0,0.81,0.81,0,0,0.81,0.81,0.81,8.86,0,0,0,0,0.81,0,0.81,0,0,0.81,0
 48-58,0,0,0,0,3.44,0,0,0,0.57,0,0,0.57,1.72,0,0.57,6.89,0.57,0.57,0,0,0,0,1.72,0,0,0,0
 60-70,0,0,0,0,9.82,0,0.98,0.98,3.93,0,0.98,0,4.91,0,0,16.69,0,0,0,0,1.96,0,1.96,0,0,0,0
 72-82,0,0,0,0,4.91,0,0,0,3.93,0,0,0,2.94,0,0,19.63,0,0,0,0,0,0,0.98,0,0,0,0
 84-94,0,0,0,2.12,1.06,0,0,0,1.06,0,0,0,1.06,0,0,5.31,0,0,0,0,1.06,0,0,1.06,0,0,1.06
 96-106,0,0,0,1.09,2.19,0,0,0,0,0,0,0,0,1.09,1.09,2.19,0,0,0,0,1.09,0,0,0,1.09,0,0
108-118,0,0,0,0,4.6,0,0,0,0.77,0,0.77,0,0.77,0,0.77,0.77,0,0,0,0,3.83,0,0,0,0,0,0
120,0,0,0,0,1.96,1.96,0,0,0,0,0,0,1.96,0,0,9.8,0,0,0,0,0,0,0,0,0,0,0
