stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0,11.49,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.25,0,0,0,0.81,0,0,0,0,0,0,0,0.81,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.46,0,0,0,1.72,0,0,0,0,0,0,0,0.57,0,0,0,0
 60-70,0,0,0,0,0,2.94,0,0,0,0.98,0,0,0,0,0,0,11.78,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0.98,0,3.93,0.98,0,0,0,0,0,0,0,0.98,0,83.44,0.98,0,0,10.8,0,0,0,0,0,0,0,2.94,0,0.98,0,0.98
 84-94,0,0,0,0,0,1.06,0,0,0,1.06,0,0,0,0,0,0,340.91,2.12,1.06,0,10.62,0,0,0,0,0,3.19,0,0,0,0,0,0
 96-106,0,0,3.28,9.84,3.28,15.3,1.09,1.09,1.09,6.56,1.09,0,3.28,1.09,2.19,1.09,711.44,14.21,0,3.28,119.12,0,1.09,2.19,0,1.09,10.93,0,0,3.28,2.19,1.09,0
108-118,0,0.77,6.13,2.3,0.77,19.15,0,0.77,0.77,6.89,0.77,0,0.77,0.77,0.77,0,1436.95,16.09,0.77,2.3,94.98,0.77,2.3,0.77,0,0,5.36,0.77,1.53,1.53,2.3,0,0.77
120,0,0,3.92,5.88,1.96,5.88,0,0,1.96,11.76,1.96,1.96,1.96,0,0,0,768.24,9.8,0,0,66.63,0,3.92,1.96,0,0,1.96,0,0,0,1.96,0,0
