stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,xanthophores
 14-21,0,11,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,12,0,1,9,4,1,2,1,4,0,0,0
 24-34,0,0.82,0,0,1.64,0,0,0,1.64,0.82,0,0,0,0,4.93,0,1.64,17.24,0,0,66.49,0,1.64,0,0,1.64,0,0,0
 36-46,0,0,0,0,2.42,0,0.81,0,0,0,0,0,0,0,0,0,0.81,16.11,0,0,20.95,0,0.81,0,0,1.61,0,0,0
 48-58,0,0,0,0,5.74,0.57,0,0,1.72,0.57,0,0,0,0,2.3,0,0,16.64,0,0,4.02,0,0,0,0,3.44,0,0,0
 60-70,0,0,0,0,16.69,0,0,0,1.96,0,0,0,0,0,1.96,0,0,27.48,0,0,2.94,0,0,0,0,5.89,0,0,0
 72-82,0,1.96,0.98,0,31.41,0,0.98,0,4.91,1.96,0,0.98,0,0,7.85,0,0,34.36,0,0,2.94,0,0,0,0,0,0,0.98,0.98
 84-94,1.06,0,1.06,0,26.55,0,2.12,0,1.06,0,0,1.06,0,0,5.31,0,0,11.68,0,0,8.5,0,0,0,0,0,0,2.12,0
 96-106,0,1.09,0,1.09,39.34,0,0,0,1.09,0,1.09,1.09,0,0,6.56,0,0,14.21,0,0,3.28,0,0,0,0,0,1.09,0,0
108-118,0,2.3,2.3,0,54.38,0,0.77,0.77,3.06,2.3,0,0,0.77,1.53,6.13,0.77,0,13.02,0,0,0.77,0,0.77,0,0,0.77,0,0.77,0
120,0,3.92,3.92,0,29.4,0,0,1.96,5.88,1.96,1.96,0,1.96,0,3.92,0,0,7.84,1.96,0,1.96,0,0,0,0,0,0,0,0
