stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,iridophores,lateral.line,mesenchyme,muscle,neural,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,xanthophores
  3-4,26.36,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0
  5-6,6.13,128.72,0,0,0,0,0,0,0,0,0,6.13,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,5.26,0,0,0,2.63,0,0,0,0,0,34.17,0,7.89,0,2.63,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,22.03,0,9.44,0,0,0,3.15,0,0,0,0
 14-21,0,0,0,3,1,4,1,0,0,7,1,62,0,1,0,0,4,1,2,21,2,0
 24-34,0,0,0,0.82,0.82,5.75,0.82,0,0,1.64,1.64,16.42,0.82,0,0,0,0,0,0,3.28,1.64,0
 36-46,0,0,0,0,0,6.45,0,0,0,3.22,0.81,18.53,0,0,0,0,0,0,0,3.22,0,0
 48-58,0,0,0,0.57,0.57,6.31,0.57,0,0.57,1.72,0.57,9.18,0,0,0,0,0,0,0,0.57,0,0
 60-70,0,0,0,0,0,3.93,0,0,0,0.98,0,4.91,0,0,0,0.98,0,0,0,2.94,0,0
 72-82,0,0,0,0,0,0.98,0.98,0,0,2.94,0.98,4.91,0,0,0.98,0,0,0,0,0.98,0,0
 84-94,0,0,0,0,0,2.12,1.06,0,0,3.19,1.06,3.19,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,1.09,0,0,4.37,0,1.09,0,0,0,0,0,0,0,0,1.09,1.09
108-118,0,0,0,0,0,1.53,1.53,0.77,0,3.06,0,6.89,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,3.92,0,1.96,0,0,0,0,0,0,0,0,0,0
