stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,immune,liver,melanocytes,mesenchyme,muscle,neural,notochord,otic,periderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,28.32,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,53,0,0,0,1,0,0,0,0,1,1,10,1,3,1,0,27,0,1,0,0
 24-34,0,0,0.82,11.49,0,0,0,1.64,0.82,0,0,0.82,1.64,0,18.88,0,0,0.82,0.82,39.4,0,0,0,2.46
 36-46,0,0,0,0,0,4.03,0,0.81,0.81,0,0,0.81,1.61,0,58.81,0,0,0,0,33.03,0,0.81,0,2.42
 48-58,0,0,0,0.57,0,9.75,0.57,1.15,0,0,0.57,0.57,2.3,0.57,154.35,0,0,0.57,0,34.43,0,1.15,0,1.15
 60-70,0,0,0,2.94,0,26.5,0.98,0.98,0.98,0,0,0,2.94,0,233.6,0,0,0,0,27.48,0,1.96,0,0
 72-82,0,0,0,1.96,0.98,33.38,0,1.96,0,0,0,0,2.94,0,227.75,0,0,1.96,0,10.8,0,0,0,0
 84-94,0,0,0,5.31,0,23.36,1.06,2.12,4.25,1.06,0,0,6.37,0,101.96,0,0,0,0,8.5,0,1.06,1.06,0
 96-106,1.09,0,0,2.19,1.09,22.95,0,3.28,3.28,2.19,1.09,0,3.28,0,100.54,0,0,0,0,0,1.09,1.09,1.09,0
108-118,0,0,0,0.77,0,19.15,0,2.3,0,2.3,0,0,2.3,0,120.26,0,0,0.77,0,5.36,0,0,0,0
120,0,0,0,1.96,0,7.84,0,0,1.96,3.92,0,0,1.96,0,131.31,0,0,0,0,3.92,1.96,0,0,0
