stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,250.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,12.26,110.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.98,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,9.44,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.23,0,0,0,28.32,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,2,2,4,0,0,0,0,0,2,0,0,0,0,0,3,0,0,6,31,1,0,0,4,0,0,5,0,4,17,0,0,0,0
 24-34,0,0,0,0,0.82,2.46,11.49,0,0,0.82,2.46,0,0,0,0,0,0,0,9.85,0,0,0.82,184.69,0.82,1.64,0,0,0,0,0,0,2.46,34.48,0,5.75,0,0.82
 36-46,0,0,0.81,0,2.42,4.83,56.4,2.42,0,0.81,4.83,0,0,0,0,1.61,0,0.81,5.64,0,0.81,4.03,245.73,0,0,0.81,0,0.81,0,0,0,0,50.76,0,0.81,0,0
 48-58,0,0,0,0,4.59,2.87,126.24,0.57,0,0,9.18,0.57,0,0.57,0.57,4.02,0,0,7.46,0,1.72,1.15,235.83,0,0.57,0.57,0,0,0.57,0,1.72,0,39.02,0,2.3,0,0.57
 60-70,0,0,0,0,3.93,7.85,352.37,0,0.98,0,15.7,0,0,0.98,0,13.74,0,0,12.76,0,0.98,1.96,396.53,0,0.98,2.94,0,0,3.93,0,0.98,0,37.3,0,0.98,0,0.98
 72-82,0,0,0,0,4.91,30.43,278.79,0.98,0,0,19.63,0.98,0,0,0,7.85,0,0,9.82,0,0,2.94,295.48,0,0.98,2.94,0,0,0,0,0,0,17.67,0.98,1.96,0,0.98
 84-94,0,0,1.06,0,2.12,33.99,184.79,2.12,0,0,21.24,1.06,1.06,1.06,0,8.5,0,1.06,7.43,0,0,3.19,128.51,0,1.06,1.06,0,0,0,0,0,0,18.05,1.06,2.12,1.06,0
 96-106,0,0,0,0,5.46,20.76,112.56,0,2.19,0,7.65,2.19,0,0,0,5.46,0,1.09,6.56,0,1.09,2.19,84.15,0,1.09,0,0,0,0,0,0,0,2.19,1.09,0,1.09,1.09
108-118,0,0,0,0,4.6,18.38,121.79,0,0.77,0,12.26,2.3,0,0,0.77,19.15,0,0.77,1.53,0.77,0.77,1.53,106.47,0,2.3,1.53,0,0.77,0,0,0,0,2.3,2.3,0,0.77,0.77
120,0,0,0,0,3.92,25.48,109.75,0,3.92,0,17.64,0,0,1.96,0,19.6,1.96,1.96,5.88,0,0,1.96,260.65,0,1.96,1.96,0,0,0,0,0,0,11.76,1.96,5.88,0,0
