stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,6.29,0,0,0,0,0,0,0,0,0
 14-21,0,2,1,0,3,0,0,0,1,0,0,0,0,1,0,1,18,0,0,0,0,0,1,0,0,5,2,0,0,0
 24-34,0,0,0.82,0,4.1,0,0,0,0,0,0,0.82,0,0.82,0,0.82,17.24,0,0,0,0,0,0,0,0,0,6.57,0.82,0,0
 36-46,0,0.81,0,0,7.25,0,0,0,1.61,0,0,0,0,1.61,0,0.81,20.14,0,0.81,0,0,0,0,0.81,0,0,3.22,0.81,0,0
 48-58,0,0,0,0,5.16,0.57,0,0,2.3,0,0,0,0,1.72,0,0.57,10.33,0,0,0,0,0,0,0,0,0,5.16,0.57,0,0
 60-70,0.98,0,0,0,8.83,0,0,0,1.96,0.98,0,0,0,3.93,0.98,0,24.54,0,1.96,0,0,0,0,0,0,0,4.91,0,0,0.98
 72-82,0,1.96,0,0,10.8,0,0,0.98,3.93,0,0.98,0,0,3.93,0,0,10.8,0,0.98,0.98,0.98,0,0,0,0,0,1.96,0.98,0,0
 84-94,0,0,0,0,9.56,0,1.06,0,4.25,0,0,2.12,0,1.06,0,0,6.37,1.06,1.06,0,0,0,0,0,0,0,2.12,0,0,0
 96-106,0,4.37,1.09,0,6.56,1.09,0,0,3.28,1.09,0,0,0,8.74,0,0,7.65,0,0,0,0,0,0,0,1.09,0,0,0,0,0
108-118,0,0,0,0.77,3.06,0,0,0,5.36,1.53,0,0,0.77,3.83,0,1.53,12.26,0,0.77,0,0,2.3,0,0,0,0,0,0,0.77,0.77
120,0,3.92,0,0,1.96,1.96,0,1.96,7.84,0,0,1.96,0,0,0,0,13.72,0,0,1.96,0,0,0,0,0,0,0,0,0,0
