stage,epidermis,erythrocytes,exocrine_pancreas,eye,glial,heart,melanocytes,mesenchyme,muscle,neural,pericytes,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vascular_smooth_muscle
 14-21,0,0,0,0,0,4,0,12,1,2,0,1,27,8,1,0
 24-34,0.82,0,0,0,0,12.31,0,19.7,1.64,4.93,0,0,1.64,0,0,0
 36-46,0,0,0,0,0,10.47,0,9.67,0,1.61,0,0,0,0,0,0
 48-58,0,0,0,1.72,0,3.44,0,12.05,0.57,4.02,0,0,0,0,0.57,0.57
 60-70,0,0,0,1.96,0,1.96,0,12.76,0,1.96,0.98,0,0,0,0.98,1.96
 72-82,0,4.91,0,0,0.98,1.96,0,20.61,0,3.93,0,0,0,0,0,0
 84-94,1.06,0,0,1.06,0,3.19,1.06,19.12,0,0,0,0,0,0,0,1.06
 96-106,0,1.09,0,0,0,2.19,0,12.02,0,1.09,0,0,0,0,0,1.09
108-118,0,2.3,0.77,0,0,0.77,0,10.72,0,0.77,0.77,0,0,0,0,0
120,0,0,0,0,0,5.88,0,3.92,0,0,0,0,0,0,0,0
