stage,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord
 14-21,0,6,2,13,0,0,1,0,0,9,0,3,16,0,0,0,0,0,1,1,1,5
 24-34,0.82,1.64,0,20.52,0,0,0.82,0,0.82,2.46,0,2.46,32.83,0,0,0.82,0,0,0,0,0,5.75
 36-46,0.81,0,0,44.31,0,0,2.42,0,0,7.25,0,3.22,43.51,0,0.81,0.81,0.81,0,0,0,0,8.06
 48-58,0,0.57,0.57,28.69,0,0,2.3,0,0,9.18,0,1.72,42.46,0.57,0,0,0,0,0,0,0,9.18
 60-70,0,0,0,7.85,0.98,0,3.93,0,0,11.78,0,0.98,50.06,0,0,0.98,0,0.98,0,0,0,0.98
 72-82,0,0,0,17.67,0,0,4.91,0,0,24.54,0,0.98,103.07,0,0,0,0,0.98,0,0,0,1.96
 84-94,0,1.06,0,13.81,0,0,1.06,0,0,11.68,0,0,55.23,1.06,0,1.06,0,0,0,0,0,1.06
 96-106,0,1.09,0,9.84,0,1.09,2.19,0,1.09,19.67,1.09,1.09,64.48,0,0,1.09,0,0,0,0,0,0
108-118,0,2.3,0,6.13,0,0,3.06,0,0,15.32,0.77,2.3,80.43,0.77,0.77,0.77,0,0.77,0,0,0,0
120,0,0,0,5.88,0,0,0,1.96,0,3.92,0,0,78.39,0,0,0,0,0,0,0,0,0
