stage,axial,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,xanthophores
  3-4,13.18,210.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0
  5-6,0,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,21.03,2.63,0,0,10.51,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,12.59,0,0,0,9.44,0,0,0,3.15,0,3.15,0,0,0
 14-21,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,4,0,0,0,0,0,1,3,0,45,156,0,0,0
 24-34,0,0,0,0.82,0.82,3.28,0,0.82,0,0,0,0,0,0,0.82,0,0,8.21,14.78,0,0,0,0,0,0.82,0,0,18.06,73.88,1.64,1.64,0
 36-46,0,0,0,0,0,2.42,0,0,0,0,0,0,0,0,0.81,0,0,2.42,4.83,0,0.81,0,0,0,0,0,0,7.25,1.61,0.81,0,0
 48-58,0,0,0,0,3.44,6.31,0,0,0,0,0,0,0,0,1.15,0,0,5.16,1.72,0,0,0,0,0,0,0,0,1.72,0,1.72,0,0
 60-70,0,0,0.98,1.96,2.94,4.91,0,1.96,0,0,0.98,0,0,0,0,0,0,1.96,6.87,0.98,0,0,0,0,0,0,0,3.93,0,0.98,0,0
 72-82,0,0,0,9.82,2.94,4.91,0,0.98,0,0,0,0.98,0,0,2.94,0,0.98,2.94,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,1.06,15.93,4.25,3.19,0,0,0,1.06,1.06,0,0,0,6.37,1.06,0,5.31,2.12,0,0,0,0,0,1.06,0,0,7.43,0,0,2.12,0
 96-106,0,0,6.56,18.58,5.46,6.56,1.09,1.09,1.09,0,0,2.19,0,1.09,4.37,0,0,10.93,7.65,0,0,0,0,1.09,0,0,0,2.19,0,1.09,0,1.09
108-118,0,0,1.53,6.89,1.53,13.79,0,1.53,0,0,0,0.77,0.77,0.77,4.6,0.77,0,13.79,5.36,0.77,0,0.77,0,0,1.53,0,0,8.43,0,1.53,0,0
120,0,0,1.96,5.88,1.96,19.6,0,1.96,0,0,0,0,0,0,0,0,0,17.64,7.84,0,0,1.96,0,0,0,0,0,9.8,0,0,0,0
