stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,3,2,0,28,0,0,0,0,0,0,0,0,0,0,0,12,0,0,18,21,0,0,0,0,0,2,1,17,16,1,0,0,0,0
 24-34,0,0,0,0,6.57,0.82,0,212.6,9.03,0.82,0.82,0,0,0,0,0,0,0,0,65.67,0,0,67.31,96.04,21.34,0,0.82,0,1.64,0,0,15.6,27.91,9.85,0,0.82,0,0
 36-46,0,0,0,0,4.83,0.81,0,203.83,15.31,3.22,6.45,6.45,0,0,0,0,0,0,0,188.53,0,0,105.54,89.43,34.64,0,0,0,0,0.81,1.61,4.83,3.22,16.92,0,0,0,0.81
 48-58,0,0,0,0,9.18,0,0,277.72,11.48,5.74,17.79,27.54,0,0.57,0,0.57,0,0,0,277.15,0,9.75,122.22,157.22,35,0,1.72,0,0.57,0,1.15,4.59,0,24.67,0,1.15,0,1.72
 60-70,1.96,0,0.98,0,7.85,0,0,209.06,8.83,11.78,14.72,64.78,0,0.98,0,0.98,2.94,0,0,299.36,1.96,11.78,101.1,152.14,30.43,0,3.93,0.98,1.96,0,0,0,0,18.65,2.94,1.96,0.98,5.89
 72-82,0,0,0.98,0,20.61,1.96,0,206.15,4.91,7.85,21.6,156.08,0,1.96,0,0.98,1.96,0,0.98,426.04,0,9.82,134.49,151.18,25.52,0,19.63,2.94,0.98,0,0,0.98,0,12.76,12.76,1.96,4.91,4.91
 84-94,1.06,0,1.06,0,38.23,1.06,0,267.63,5.31,28.68,7.43,96.65,0,4.25,0,3.19,4.25,0,0,274.01,1.06,10.62,89.21,86.03,48.85,2.12,10.62,0,2.12,0,1.06,0,0,12.74,5.31,2.12,2.12,3.19
 96-106,0,0,0,0,57.92,0,2.19,252.45,8.74,16.39,5.46,136.61,0,3.28,2.19,5.46,3.28,1.09,0,290.7,0,8.74,80.87,109.28,30.6,1.09,17.49,3.28,7.65,0,1.09,3.28,0,17.49,6.56,3.28,6.56,4.37
108-118,0.77,0,0.77,0.77,78.89,3.06,0,256.6,7.66,26.04,6.13,89.62,1.53,3.06,0,22.21,6.89,0.77,0.77,277.28,0,4.6,84.26,136.34,19.15,0,19.92,1.53,0.77,0,0.77,0,0,12.26,0.77,1.53,4.6,4.6
120,0,0,0,0,68.59,0,0,133.27,1.96,17.64,3.92,86.23,0,5.88,1.96,3.92,5.88,0,0,235.17,0,11.76,86.23,137.18,27.44,0,11.76,0,1.96,0,0,1.96,0,1.96,0,0,3.92,9.8
