stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,1,12,95,46,0,157,0,1,0,13,4,1,0,0,2,0,1,0,2,64,0,0,64,1028,10,4,9,22,0,6,1,122,3,1,257,276,0,0,2,0,2
 24-34,0,0.82,4.93,40.22,5.75,0,194.54,1.64,0.82,0.82,22.98,4.1,0,0.82,2.46,3.28,1.64,4.93,1.64,5.75,128.87,0,2.46,30.37,1103.23,3.28,9.03,6.57,0.82,0,12.31,0,0.82,3.28,2.46,43.51,221.63,0,0,12.31,0,4.1
 36-46,0,0,0,20.14,0,0,133.74,0,0,1.61,24.17,2.42,0,0,1.61,0.81,1.61,2.42,3.22,3.22,74.12,0,2.42,24.17,675.15,0,6.45,4.03,0,0.81,8.06,0.81,0,3.22,0,1.61,119.24,0,0,5.64,0,2.42
 48-58,0,0,1.15,16.64,0.57,0,343.14,3.44,2.87,6.31,86.64,4.02,0,1.72,2.3,2.3,4.02,3.44,4.02,1.72,152.63,0.57,8.61,37.3,792.42,3.44,3.44,9.18,0,1.15,12.62,0,0,1.15,0,0,130.25,0,1.15,11.48,0,6.31
 60-70,0.98,0,0,18.65,0,0,216.92,0.98,3.93,2.94,66.74,5.89,0,0.98,4.91,0.98,7.85,1.96,2.94,2.94,106.99,0,5.89,18.65,407.33,1.96,4.91,2.94,0,1.96,8.83,0,0,2.94,0,0,37.3,0,1.96,6.87,2.94,2.94
 72-82,0,0.98,0,25.52,4.91,0,236.58,0,0.98,4.91,63.81,11.78,0,0.98,11.78,6.87,3.93,0.98,1.96,0.98,188.48,1.96,5.89,36.32,404.44,1.96,6.87,15.71,0,0.98,7.85,0,0,2.94,0,0,20.61,1.96,1.96,11.78,4.91,2.94
 84-94,1.06,0,0,28.68,3.19,2.12,189.04,3.19,3.19,3.19,53.1,11.68,1.06,1.06,30.8,12.74,7.43,6.37,3.19,2.12,133.82,1.06,7.43,30.8,236.83,1.06,5.31,11.68,0,2.12,37.17,0,0,1.06,1.06,0,19.12,2.12,3.19,9.56,3.19,6.37
 96-106,0,3.28,0,50.27,8.74,3.28,77.59,1.09,6.56,4.37,44.81,10.93,0,4.37,27.32,7.65,3.28,5.46,2.19,1.09,146.44,4.37,4.37,30.6,169.39,1.09,5.46,12.02,0,1.09,33.88,0,0,4.37,0,0,10.93,1.09,2.19,17.49,1.09,5.46
108-118,0,0,0.77,58.21,5.36,6.89,88.09,4.6,11.49,4.6,42.13,9.96,0,2.3,29.87,12.26,12.26,3.83,6.13,4.6,111.06,2.3,2.3,42.13,211.41,3.83,6.13,12.26,0.77,1.53,35.23,0,0,5.36,0,0,1.53,3.06,1.53,16.09,0.77,5.36
120,1.96,0,0,70.55,17.64,1.96,76.43,3.92,13.72,7.84,41.16,9.8,1.96,0,41.16,9.8,1.96,1.96,0,1.96,86.23,0,3.92,52.91,215.58,11.76,5.88,11.76,0,1.96,35.28,0,0,1.96,1.96,0,5.88,3.92,0,17.64,0,1.96
