stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,26.36,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,2.63,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.62,0,0,0,3.15,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,40,0,0,0,0,0,1,0,0,4,0,0,0,0,1,0,0,1,0,0,0,0,12,0,1,0,0,0,0
 24-34,0,0,0,1.64,31.19,0,0,6.57,0,0,0,0,0,18.88,0,0.82,0,0,1.64,2.46,0.82,7.39,0,5.75,1.64,0,61.56,0.82,0,1.64,0,0,0
 36-46,0,0,0,0,22.56,0,1.61,2.42,0,1.61,0.81,0,0,8.06,0,3.22,0,0,2.42,4.03,1.61,11.28,0,0,0.81,0,60.43,0.81,0,0.81,0,0,0
 48-58,0,0,0,0.57,12.05,0,1.15,7.46,0,0,0,1.15,0,5.74,0,4.59,0,0,1.15,2.87,0,8.61,0,1.72,1.15,0,29.84,0.57,0,0.57,0,0,0
 60-70,0,0,0,0,12.76,0,0.98,6.87,0.98,0,0.98,0,0,2.94,0,1.96,0,0.98,1.96,4.91,0,3.93,0,0.98,0.98,0,35.33,0.98,0,0.98,0.98,0,0.98
 72-82,0,0,0.98,0,23.56,0.98,1.96,7.85,0,0.98,2.94,0,0,4.91,0,8.83,0,0.98,7.85,13.74,2.94,4.91,0,0.98,0,0,45.16,0,0,0.98,0,0,0.98
 84-94,0,0,0,0,46.73,0,1.06,8.5,1.06,0,9.56,0,0,12.74,0,1.06,0,0,2.12,4.25,2.12,5.31,0,3.19,1.06,0,120.01,1.06,0,1.06,4.25,0,1.06
 96-106,0,0,1.09,1.09,50.27,0,6.56,6.56,0,0,10.93,2.19,0,17.49,0,4.37,1.09,0,2.19,16.39,1.09,6.56,0,6.56,2.19,0,92.89,1.09,0,1.09,8.74,0,0
108-118,0,0,0.77,0,52.09,0,1.53,8.43,0,0,19.92,0,0,13.02,0.77,2.3,0,0,1.53,5.36,0,2.3,1.53,1.53,5.36,0,58.98,0.77,0,0,8.43,0.77,0
120,0,0,0,0,50.95,0,1.96,9.8,0,1.96,17.64,0,1.96,15.68,0,5.88,0,0,1.96,11.76,0,9.8,0,1.96,3.92,0,96.03,0,0,0,7.84,0,0
