stage,axial,blastomeres,endoderm,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,hatching.gland,heart,immune,ionocyte,lateral.line,mesenchyme,mucous,muscle,neural,olfactory,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,spinal.cord,vasculature
  3-4,13.18,197.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0
  5-6,0,116.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,26.29,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,3.15,0,0,0,0,0
 14-21,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
 24-34,0,0,0,0,0.82,1.64,2.46,0,0,0,0,0,0,0,0.82,0,9.85,0,0,3.28,0,0,2.46,0
 36-46,0,0,0,0.81,0.81,2.42,1.61,0.81,0,0,0,0,0,0,0,0.81,0.81,0.81,0,0,0.81,0,0,0
 48-58,0,0,0,0.57,4.59,0,1.72,0.57,0,0,0,0,0,1.72,0,0.57,8.03,0,0,0,0.57,0,1.15,0
 60-70,0,0,0,0,2.94,0.98,3.93,0.98,0,0,0.98,0,0,1.96,0,0,4.91,0,0,0,0,0,2.94,0
 72-82,0,0,0,0,1.96,0.98,1.96,0,0,0,1.96,0,0,0.98,0,0,7.85,0,0,0,0,0,0,2.94
 84-94,0,0,0,0,1.06,0,6.37,0,0,0,1.06,0,0,2.12,0,0,5.31,0,0,0,0,0,0,0
 96-106,0,0,0,1.09,2.19,0,2.19,0,0,0,7.65,2.19,0,2.19,0,0,3.28,0,0,0,2.19,0,0,3.28
108-118,0,0,0.77,0,0.77,0,0.77,0.77,0,0.77,4.6,0.77,0.77,1.53,0,0,3.83,0,0,0,2.3,0,0,2.3
120,0,0,0,0,3.92,0,0,0,0,0,0,0,0,1.96,0,0,3.92,0,0,0,1.96,0,0,0
