stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,1,0,0,1,1,1,41,0,0,0,0,0
 24-34,0,0,0,0,2.46,0,0,4.93,0,0,0.82,0.82,0,0,0,0,0,0,0,0,3.28,0,0,2.46,327.52,0,1.64,0.82,0,0,1.64,0,0.82,0.82,127.23,0,0,0.82,0,0.82
 36-46,0,0,0,0,1.61,0.81,0,12.09,0,0,0,3.22,0,0,0,0,0,0,0,0,7.25,0,0,3.22,782.3,0,0.81,0,0,0,2.42,0,0,0,129.71,0,0,0,0,0.81
 48-58,0,0,0,0,1.72,0,0,103.86,0,0,0.57,12.05,0,1.72,0.57,0,0.57,0.57,0,0,11.48,0.57,0.57,2.3,1015.06,0.57,1.15,0.57,0,0,1.15,0,0.57,0,117.06,0,0,0.57,0,1.72
 60-70,0,0,0,0,4.91,0,0,268.94,0.98,1.96,0.98,10.8,0.98,0.98,1.96,0,0,0,0,0,21.59,0,0.98,0,1366.28,0,0.98,0.98,0,0,3.93,0,0.98,0,107.97,0,0,0,0,2.94
 72-82,0,0,0,0,11.78,4.91,0,480.03,0.98,0.98,0.98,32.39,2.94,2.94,1.96,0,0.98,0.98,1.96,0.98,62.83,1.96,0.98,4.91,1686.5,0,2.94,1.96,0,0,5.89,0,0,0,95.22,0.98,0,0.98,1.96,1.96
 84-94,0,0,0,0,27.61,2.12,0,352.6,1.06,0,2.12,38.23,3.19,0,4.25,1.06,3.19,0,1.06,0,19.12,0,1.06,0,961.14,0,1.06,0,0,0,6.37,0,0,0,41.42,0,1.06,2.12,2.12,0
 96-106,0,0,0,1.09,20.76,8.74,0,408.72,2.19,1.09,2.19,40.44,1.09,2.19,5.46,2.19,1.09,1.09,3.28,0,38.25,1.09,3.28,2.19,885.21,0,1.09,2.19,0,1.09,13.11,0,0,0,33.88,0,2.19,7.65,0,1.09
108-118,0,0,0.77,0.77,16.85,6.89,0.77,373.79,1.53,2.3,2.3,27.57,1.53,0.77,1.53,1.53,0.77,0,3.06,0,25.28,0.77,0.77,3.06,1089.97,2.3,1.53,2.3,0,0,5.36,0,0.77,0,21.45,1.53,0,1.53,0.77,2.3
120,0,0,1.96,0,31.36,3.92,1.96,311.61,0,5.88,0,23.52,1.96,0,1.96,0,0,1.96,3.92,0,35.28,0,1.96,3.92,1269.94,0,1.96,5.88,0,0,11.76,0,3.92,0,21.56,0,1.96,5.88,0,0
