stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,10,0,0,1,0,0,1,0,1,3,3,0,0,0,0,0
 24-34,0,0,0,0.82,8.21,0,0,2.46,0,4.1,0,0,0.82,0,0,0,0,0,0,0,3.28,0,0,3.28,4.93,18.88,0,0,0,0,0.82,0,0,0,4.93,0,0,2.46,0,0
 36-46,0,0,0,0,6.45,0,0,1.61,0,0.81,0,0.81,0,1.61,0,0,0,0,0,0,7.25,0,0,6.45,1.61,16.11,0.81,0,0,0,0,0,0,0,4.03,0,0,0,0,0
 48-58,0,0,0,0,9.18,0,0,1.72,0,9.18,1.15,5.74,0,1.15,0,0,0,0,0,0,10.9,0,0.57,1.72,10.33,24.67,4.59,0,0,0,0.57,0,0,0,5.74,0,0,0.57,0,0
 60-70,0,0,0,0,10.8,0,0,3.93,0,31.41,0,3.93,0,0,0,0,0,0,0,0,66.74,0,0.98,1.96,7.85,31.41,0.98,1.96,0,0.98,1.96,1.96,0,0,3.93,0,0,2.94,0,0.98
 72-82,0,0,0,0,28.47,0.98,0,8.83,2.94,46.14,2.94,11.78,2.94,1.96,0,2.94,2.94,0.98,0,2.94,260.14,0.98,4.91,17.67,20.61,37.3,9.82,5.89,0,0,0.98,0,0,0,5.89,0.98,0.98,2.94,4.91,0
 84-94,1.06,0,0,0,98.77,0,0,10.62,0,96.65,1.06,1.06,3.19,1.06,0,4.25,1.06,1.06,1.06,1.06,194.35,3.19,5.31,10.62,9.56,53.1,4.25,2.12,0,0,5.31,0,0,0,5.31,1.06,3.19,2.12,3.19,0
 96-106,0,0,1.09,0,75.41,2.19,0,18.58,0,118.03,3.28,12.02,6.56,2.19,3.28,5.46,4.37,0,3.28,1.09,276.49,2.19,12.02,14.21,22.95,61.2,6.56,16.39,0,1.09,1.09,0,0,0,14.21,0,3.28,6.56,7.65,0
108-118,0.77,0,0,0.77,136.34,1.53,0.77,7.66,0.77,181.53,4.6,9.96,5.36,0.77,0,6.89,4.6,2.3,6.13,0,236.68,0.77,6.89,5.36,20.68,70.47,4.6,20.68,0,0,3.06,1.53,0,0,4.6,0.77,4.6,4.6,7.66,1.53
120,0,0,0,0,133.27,3.92,0,7.84,0,137.18,0,7.84,3.92,1.96,0,7.84,7.84,3.92,1.96,0,217.54,3.92,3.92,3.92,9.8,90.15,5.88,13.72,0,0,1.96,1.96,0,0,5.88,0,5.88,5.88,11.76,0
